班级ID,班级名
708,高二(02)
709,高二(03)
710,高二(04)
711,高二(05)
712,高二(06)
713,高二(07)
714,高二(08)
716,高二(09)
717,高二(10)
718,高二(11)
719,高二(01)
720,高三(12) 
721,高三(04)
722,高三(08)
723,高三(09)
725,高三(01)
726,高三(05)
727,高三(02)
728,高三(06)
729,高三(10)
730,高三(03)
731,高三(07)
732,高三(11)
733,高一(01)
734,高一(02)
735,高一(03)
736,高一(04)
737,高一(05)
738,高一(06)
739,高一(07)
740,高一(08)
741,高一(09)
742,高一(10)
743,高一(11)
744,初三IB班
757,高二(01)
758,高二(02)
759,高二(03)
760,高二(08)
761,高二(09)
762,高二(10)
763,高二(11)
764,高二(04)
765,高二(05)
766,高二(06)
767,高二(07)
768,高三(02)
769,高三(06)
770,高三(09)
771,高三(04)
772,高三(05)
773,高三(08)
774,高三(13)
775,高三(11)
776,高三(01)
777,高三(03)
778,高三(07)
779,高三(10)
783,高一(01)
784,高一(02)
785,高一(03)
786,高一(04)
787,高一(05)
788,高一(06)
789,高一(07)
790,高一(08)
791,高一(09)
792,高一(10)
793,高一(11)
794,高一(IB)
796,IB临时班
808,高二(04)
809,高二(05)
810,高二(06)
811,高二(07)
812,高二(08)
813,高二(09)
814,高二(10)
815,高二(11)
816,高二(01)
817,高二(02)
818,高二(03)
819,高二(18IB01)
820,高三(08)
821,高三(04)
822,高三(01)
823,高三(02)
824,高三(03)
825,高三(09)
826,高三(10)
827,高三(17IB1)
828,高三(05)
829,高三(06)
830,高三(07)
831,高一(01)
832,高一(02)
833,高一(03)
834,高一(04)
835,高一(05)
836,高一(06)
837,高一(07)
838,高一(08)
839,高一(09)
840,高一(10)
841,高二(18IB02)
842,高一(19IB01)
843,高一(19IB02)
844,高三(17IB2)
858,高二(11)IB
859,高二(12)IB
860,高二(01)
861,高二(02)
862,高二(03)
863,高二(04)
864,高二(05)
865,高二(06)
866,高二(07)
867,高二(08)
868,高二(09)
869,高二(10)
870,高三(13)8IB
871,高三(07)
872,高三(11)
873,高三(12)IB
874,高三(04)
875,高三(08)
876,高三(01)
877,高三(05)
878,高三(06)
879,高三(09)
880,高三(10)
881,高三(02)
882,高三(03)
883,高一(01)
884,高一(02)
885,高一(03)
886,高一(04)
887,高一(05)
888,高一(06)
889,高一(07)
890,高一(08)
891,高一(09)
892,高一(10)
893,高一(11)
894,高一(12)
895,高一(13)IB
896,新高一东部班
897,新高一白杨班
898,新高一海航班
900,新高一IB班2
901,白-高二(01)
902,白-高二(02)
903,白-高二(03)
904,白-高二(04)
905,白-高二(05)
906,白-高二(06)
907,白-高二(07)
908,白-高二(08)
909,白-高二(09)
910,白-高二(10)
911,白-高二(11)
912,白-高二(12)
913,高二(13)IB
914,高三(11)IB
915,高三(12)IB
916,高三(02)
917,高三(03)
918,高三(04)
919,高三(07)
920,高三(08)
921,高三(01)
922,高三(05)
923,高三(09)
924,高三(06)
925,高三(10)
926,东-高一(01)
927,东-高一(02)
928,东-高一(03)
929,东-高一(04)
930,东-高一(05)
931,东-高一(06)
932,东-高一(07)
933,东-高一(08)
934,白-高一(01)
935,白-高一(02)
936,白-高一(03)
937,白-高一(04)
938,白-高一(05)
939,白-高一(06)
940,白-高一(07)
941,白-高一(08)
942,东-高一(09)-IB
943,东-高一(10)-IB
